Order_ID,Order_ReturnDate,Order_ReturnStore,Dropped Off
377,20060717,17,True
378,20060716,21,True
379,20060722,26,True
380,20060724,29,True
381,20060721,9,True
382,20060721,19,True
383,20060728,12,True
384,20060721,20,True
385,20060723,23,True
386,20060814,36,True
387,20060810,11,True
388,20060726,31,True
389,20060813,29,True
390,20060728,33,True
391,20060815,31,True
392,20060816,31,True
393,20060816,33,True
395,20060818,35,True
396,20060819,36,True
397,20060802,12,True
398,20060823,12,True
399,20060808,15,True
400,20060813,9,True
401,20060813,1,True
402,20060821,14,True
403,20060812,3,True
404,20060819,15,True
405,20060908,34,True
407,20060819,14,True
408,20060823,19,True
409,20060822,9,True
410,20060915,29,True
411,20060821,17,True
412,20060917,31,True
414,20060909,36,True
415,20060906,33,True
416,20060825,14,True
417,20060906,32,True
418,20060910,18,True
419,20060828,13,True
420,20060904,11,True
421,20060914,21,True
422,20060911,20,True
423,20060908,12,True
424,20060926,14,True
425,20060925,26,True
426,20060915,24,True
427,20060916,25,True
428,20060910,28,True
429,20060907,24,True
430,20060912,30,True
431,20060912,19,True
432,20060912,38,True
433,20060914,33,True
434,20060910,37,True
435,20060913,12,True
436,20060917,36,True
437,20060915,37,True
438,20060920,38,True
439,20060920,39,True
440,20060914,1,True
441,20060926,13,True
442,20060928,14,True
443,20060928,15,True
444,20061006,22,True
445,20061010,27,True
446,20060928,6,True
447,20061002,19,True
448,20061012,10,True
449,20061010,17,True
450,20061011,10,True
451,20061015,26,True
452,20061016,14,True
453,20061012,29,True
454,20061010,24,True
455,20061012,13,True
456,20061003,17,True
457,20061008,25,True
458,20061010,18,True
459,20061018,35,True
460,20061004,18,True
461,20061007,20,True
462,20061010,26,True
463,20061016,32,True
464,20061016,30,True
465,20061014,31,True
466,20061014,26,True
467,20061016,33,True
468,20061019,28,True
469,20061024,40,True
470,20061018,16,True
471,20061019,31,True
472,20061023,32,True
473,20061020,37,True
474,20061025,34,True
475,20061022,36,True
476,20061027,36,True
477,20061025,37,True
478,20061022,18,True
479,20061028,24,True
480,20061111,40,True
481,20061026,3,True
482,20061027,21,True
483,20061110,7,True
484,20061108,16,True
485,20061112,25,True
486,20061103,30,True
487,20061112,8,True
488,20061103,10,True
489,20061106,25,True
490,20061105,13,True
491,20061107,31,True
492,20061125,31,True
493,20061109,16,True
494,20061111,18,True
495,20061128,16,True
496,20061129,36,True
497,20061210,13,True
498,20061118,18,True
499,20061119,19,True
500,20061210,18,True
501,20061118,14,True
502,20061215,18,True
503,20061120,8,True
504,20061124,13,True
505,20061218,26,True
506,20061127,26,True
507,20061127,16,True
508,20061128,28,True
509,20061129,29,True
510,20061210,11,True
511,20061126,15,True
512,20061126,16,True
513,20061126,17,True
514,20061127,18,True
515,20061215,18,True
516,20061129,37,True
517,20061201,39,True
518,20061215,18,True
519,20061209,39,True
520,20061209,7,True
521,20070108,18,True
522,20061213,11,True
523,20061219,16,True
524,20061215,13,True
525,20061217,15,True
526,20070112,40,True
527,20070102,31,True
528,20061220,18,True
529,20061221,19,True
530,20061221,10,True
531,20061222,11,True
532,20061216,17,True
533,20061219,17,True
534,20070117,17,True
535,20061225,15,True
536,20070106,34,True
537,20070106,35,True
538,20070110,39,True
539,20061229,19,True
540,20070108,16,True
541,20061228,21,True
542,20070113,26,True
543,20070105,9,True
544,20070114,24,True
545,20070112,11,True
546,20070119,11,True
547,20070114,13,True
548,20070115,28,True
549,20070119,29,True
550,20070109,30,True
551,20070107,31,True
552,20070105,10,True
553,20070118,21,True
554,20070113,34,True
556,20070118,26,True
557,20070117,18,True
558,20070114,38,True
559,20070118,39,True
560,20070116,40,True
561,20070203,22,True
562,20070122,23,True
563,20070124,13,True
564,20070120,11,True
565,20070123,10,True
566,20070118,27,True
567,20070120,29,True
568,20070128,11,True
569,20070210,18,True
570,20070213,12,True
571,20070126,12,True
572,20070127,14,True
573,20070212,20,True
574,20070128,17,True
575,20070202,20,True
576,20070218,18,True
577,20070219,38,True
578,20070205,25,True
579,20070209,10,True
580,20070207,9,True
581,20070204,22,True
582,20070207,22,True
583,20070204,23,True
584,20070206,25,True
585,20070214,25,True
586,20070210,28,True
587,20070211,31,True
588,20070217,10,True
589,20070212,31,True
590,20070219,12,True
591,20070215,34,True
592,20070213,33,True
593,20070221,33,True
594,20070219,34,True
595,20070220,35,True
596,20070317,17,True
597,20070225,37,True
598,20070223,38,True
599,20070228,21,True
600,20070228,40,True
88,20051017,23,True
89,20051012,21,True
90,20051019,20,True
91,20051017,10,True
93,20051007,26,True
95,20051008,25,True
96,20051009,26,True
97,20051013,14,True
98,20051027,26,True
99,20051028,14,True
100,20051017,20,True
101,20051018,21,True
102,20051018,22,True
103,20051022,10,True
104,20051021,24,True
105,20051018,25,True
106,20051025,10,True
107,20051024,27,True
108,20051021,20,True
109,20051022,15,True
110,20051119,25,True
111,20051110,21,True
112,20051025,10,True
113,20051026,14,True
114,20051027,26,True
115,20051028,35,True
116,20051108,25,True
117,20051026,15,True
118,20051028,16,True
119,20051115,39,True
120,20051110,13,True
121,20051117,1,True
122,20051118,2,True
123,20051112,9,True
124,20051112,10,True
125,20051111,5,True
126,20051124,20,True
127,20051128,24,True
128,20051113,8,True
129,20051201,25,True
130,20051115,10,True
131,20051114,31,True
132,20051115,15,True
133,20051114,16,True
134,20051112,11,True
135,20051210,28,True
136,20051116,19,True
137,20051215,31,True
138,20051124,15,True
139,20051206,36,True
140,20051122,20,True
141,20051210,12,True
142,20051210,18,True
143,20051202,12,True
144,20051206,14,True
145,20051211,25,True
146,20051128,26,True
147,20051205,10,True
148,20051210,11,True
149,20051215,26,True
150,20051215,30,True
151,20051213,24,True
152,20051210,28,True
153,20051219,12,True
154,20051206,25,True
155,20051207,16,True
156,20051208,36,True
157,20051209,12,True
158,20051208,17,True
159,20051207,17,True
160,20051211,20,True
161,20051212,20,True
162,20060103,26,True
163,20051215,25,True
164,20051218,27,True
165,20051222,15,True
166,20051219,9,True
167,20051224,14,True
168,20051224,25,True
169,20051224,9,True
170,20051219,11,True
171,20051220,29,True
172,20060111,22,True
173,20060111,29,True
174,20060101,25,True
175,20060110,15,True
176,20051224,15,True
177,20051226,16,True
178,20051226,17,True
179,20051228,20,True
180,20060110,20,True
181,20060103,21,True
182,20060115,38,True
183,20060106,30,True
184,20060116,15,True
185,20060105,28,True
186,20060106,22,True
187,20060112,21,True
188,20060109,28,True
189,20060107,24,True
190,20060111,30,True
191,20060110,26,True
193,20060112,28,True
194,20060112,11,True
195,20060212,28,True
196,20060113,12,True
197,20060121,12,True
198,20060122,38,True
199,20060124,15,True
200,20060121,4,True
201,20060203,18,True
202,20060123,11,True
203,20060211,12,True
204,20060129,13,True
205,20060127,11,True
206,20060211,9,True
207,20060212,7,True
208,20060224,38,True
209,20060202,16,True
210,20060211,10,True
211,20060211,14,True
212,20060224,39,True
213,20060214,14,True
214,20060218,32,True
215,20060220,28,True
216,20060218,24,True
217,20060210,17,True
218,20060216,31,True
220,20060210,20,True
222,20060212,22,True
223,20060217,23,True
224,20060310,29,True
225,20060218,19,True
226,20060312,15,True
227,20060221,27,True
228,20060222,28,True
229,20060219,11,True
230,20060316,19,True
231,20060221,31,True
232,20060225,10,True
233,20060220,35,True
234,20060222,31,True
235,20060228,35,True
236,20060312,25,True
237,20060313,31,True
238,20060228,38,True
239,20060313,39,True
240,20060315,18,True
241,20060312,15,True
243,20060308,11,True
244,20060405,39,True
245,20060320,18,True
246,20060328,30,True
247,20060312,12,True
248,20060320,22,True
249,20060324,27,True
250,20060312,11,True
251,20060314,17,True
252,20060313,9,True
253,20060411,29,True
254,20060318,20,True
255,20060316,19,True
256,20060319,14,True
257,20060323,17,True
258,20060324,24,True
259,20060324,26,True
260,20060410,31,True
261,20060410,32,True
262,20060403,37,True
263,20060323,20,True
264,20060326,28,True
265,20060326,24,True
266,20060411,26,True
267,20060329,27,True
268,20060401,35,True
269,20060411,24,True
270,20060328,31,True
271,20060412,34,True
272,20060405,36,True
273,20060411,31,True
274,20060416,34,True
275,20060410,35,True
276,20060407,15,True
277,20060408,8,True
278,20060415,22,True
279,20060414,39,True
280,20060413,24,True
281,20060513,37,True
282,20060417,2,True
283,20060411,17,True
284,20060419,13,True
285,20060512,17,True
286,20060419,9,True
287,20060416,26,True
288,20060419,22,True
289,20060423,31,True
290,20060424,17,True
291,20060507,31,True
292,20060515,39,True
293,20060423,17,True
294,20060511,31,True
295,20060426,11,True
296,20060425,19,True
297,20060428,12,True
298,20060515,17,True
299,20060510,14,True
300,20060515,20,True
301,20060508,11,True
302,20060513,10,True
303,20060514,19,True
304,20060512,12,True
305,20060510,25,True
306,20060514,12,True
307,20060508,27,True
308,20060525,25,True
309,20060514,29,True
310,20060511,24,True
311,20060511,34,True
312,20060509,12,True
313,20060517,33,True
314,20060515,12,True
315,20060519,35,True
316,20060517,12,True
317,20060522,37,True
318,20060527,25,True
319,20060523,39,True
320,20060521,4,True
321,20060525,1,True
322,20060624,38,True
323,20060618,33,True
324,20060620,34,True
325,20060529,5,True
326,20060613,25,True
327,20060603,10,True
328,20060611,14,True
329,20060602,16,True
